user,text,score,ID,Thumbs Up Count,date,sentiment,sentiment_description,interpreted_sentiment,sentiment_score,,,,
Rafael Olvera,Muy buena y facil de utilizar,5,gp:AOqpTOFmixAxniwrLjcRauBDc3BQlCs5fChMD2oy1UssWACljCsYgeprIUn-RIO999NqxPV885ViHubBaUJxncE,0,2021-06-29 17:12,"The sentiment of the text is generally positive. The text is in Spanish and translates to ""Very good and easy to use."" The words ""muy buena"" (very good) and ""facil de utilizar"" (easy to use) both convey a positive sentiment, indicating satisfaction and ease of use.",Muy buena y facil de utilizar,positive,1,,,,
Cristian Garcia,Oye como le ago para entrar si ya tego cuenta,5,gp:AOqpTOGPWyBInhrr3uF-VGJQnuzjAlnEZjBMxeGyfj-n9Wct073VmKV5m8bBge679dOxzIRBIVAgy_hfvNWLMTE,0,2021-06-29 17:07,"The sentiment of this text is neutral. The user is asking for help or instructions (""Oye como le ago para entrar"") about accessing something, indicating they already have an account (""si ya tego cuenta""). There's no explicit positive or negative emotion conveyed in this text.",Oye como le ago para entrar si ya tego cuenta,neutral,0,,,,
Carlos Ramirez,"Soporte inexistente,pedidos cada vez peor pagados.",2,gp:AOqpTOGVE86o9Z_Jzf_Y0DxN4jQ2Ck2hw_imaujHhDrG_S6gpIeszf1_FXo0j9fX93wcSWoWt4drKhSex6VIsLA,0,2021-06-29 17:02,"The sentiment of the text is negative. The text is in Spanish and translates to ""Non-existent support, orders are increasingly worse paid."" The language used indicates dissatisfaction and frustration, suggesting a negative experience or situation. The phrases ""non-existent support"" and ""increasingly worse paid"" both convey negative emotions.","Soporte inexistente,pedidos cada vez peor pagados.",negative,-1,,,,
The Charly YT,Buena aplicacion,5,gp:AOqpTOH2Uqqy-lWibmWns3bFuzysaYvnv49C0N0cywg_cECPfGYeChVnF9Vd8ijUJfEBtsDcB5jTAmTDYtpivg0,0,2021-06-29 16:58,"The sentiment of the text is positive. The text is in Spanish and translates to ""Good application"" in English. The word ""buena"" conveys a positive emotion towards the application.",Buena aplicacion,positive,1,,,,
Wolves Solano,Muy malo el pago a sus RT y peor aun largas distancia,4,gp:AOqpTOGt4wRkUVGXmUC9joY_bNUzzmqXmhDeEokf2sLHbpT5klD1a3SZm_oeHRxKXBk4H8kW-EFORt6TZG7GLjA,0,2021-06-29 16:54,"The sentiment of the text is negative. The text is in Spanish and translates to ""Very bad the payment to their RT and even worse long distance"". The words ""muy malo"" (very bad) and ""peor aun"" (even worse) indicate dissatisfaction and a negative sentiment towards the payment for RT and long distance.",Muy malo el pago a sus RT y peor aun largas distancia,negative,-1,,,,
Argenis Guilarte,"Muy bueno el app, me ayudado en muchas cosas para mi situacion economica",5,gp:AOqpTOG3NVDBXg8PSUy5UH5gYKXdDxKCGnT39zC3GyMdakC-puYwO6R3S1JbiR8QOdAtqhusJNMkGrHzWPPuAuI,0,2021-06-29 16:48,"The sentiment of the text is generally positive. The user expresses satisfaction with the app, stating that it has been very helpful for their economic situation. The words ""muy bueno"" (very good) and ""me ayudado"" (has helped me) indicate a positive experience and appreciation.","Muy bueno el app, me ayudado en muchas cosas para mi situacion economica",positive,1,,,,
Angelo Garcia,Bien,5,gp:AOqpTOHva1321XdiXcaXPSTPmJo1ZU4kNyi8tKehnjoH3s8I3EYAnnSLLGTjzNq_NU0i8z7BjJX_hnZONZCX32o,0,2021-06-29 16:46,"The sentiment of the text ""Bien"" is generally positive. This is a Spanish word that translates to ""good"" or ""well"" in English. The sentiment is positive because it indicates a state of satisfaction or approval.",Bien,positive,1,,,,
Gabriel Perez,Excelentr,5,gp:AOqpTOHcBRtDTdzLDn_Eglw1GEKo-QgLtKfyJW-RbvOYrxKbxicHhivHMfMzBXRiUnroyrZ9Go8BORp2GNSrSkI,0,2021-06-29 16:38,"The sentiment of the text ""Excelentr"" is neutral. The text appears to be a misspelling or typo, possibly intending to say ""Excellent"" or ""Excelente"" (in Spanish). However, without further context or correct spelling, it's difficult to determine the intended sentiment.",Excelentr,positive,1,,,,
Jean Otero,Buena,5,gp:AOqpTOEeKEeOC-xgrRbB90iG4-PgUUrEUdElhdLrlYYp-p0DvlHMcgusNR8uQfOpPJyKzZVFof6ESTkYN_7PDck,0,2021-06-29 16:36,"The sentiment of the text ""Buena"" is neutral. This is a Spanish word that translates to ""good"" in English. However, without additional context or further information, it's difficult to determine the sentiment beyond the neutral connotation of the word itself.",Buena,positive,1,,,,
jorge ventura vera gomez,Excelente,5,gp:AOqpTOEScR3-Go-Jvureza-12_uMls5N9aY0TqZkml1rSZXM7isZSntyNCAr-O8j_iYzz2pN_hSOp7rSE8xfTQ8,0,2021-06-29 16:35,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is generally associated with a positive sentiment.",Excelente,positive,1,,,,
Luis Francisco Mancinas Rubio,Buena aplicacion,5,gp:AOqpTOEpTfj4fu_LH771axClgFozUUHpNOMxY6rCFNp7gACyX2wzxkzCpVikULRAF99Z6_dU35CjfG6mhpdx9iw,0,2021-06-29 16:31,"The sentiment of the text is positive. The text is in Spanish and translates to ""Good application"" in English. The word ""buena"" conveys a positive emotion towards the application.",Buena aplicacion,positive,1,,,,
Luis gerardo Rodriguez flores,"Llevo 3 dias sin un solo pedido, hago mis reservas y todo y nada mas nada",1,gp:AOqpTOEFdHBuGNnMIQVCwl9Dqi7R4MpQcmM1anVOz0Zb3cphF9Kkx971V3-W-i6tvQsGWbvNt0neKILCKg9VgSo,0,2021-06-29 16:28,"The sentiment of the text is negative. The speaker expresses frustration or disappointment as they have not received any orders for three days despite making their reservations. The phrase ""nada mas nada"" emphasizes the speaker's negative feelings, as it suggests a sense of hopelessness or despair.","Llevo 3 dias sin un solo pedido, hago mis reservas y todo y nada mas nada",negative,-1,,,,
Jimmy Wazaby,"Quiten su evaluacion de reserva de horarios, ya baje de nivel por que su sistema no sirve, siempre me conecto a tiempo y en la zona y aun asi me marca como si no me hubiese activado. Pésima tecnologia la que manejan, mejor no reserven 😡",1,gp:AOqpTOES61D9dnW_hwGsggMGEus9LMCEI9pxq6o3xPk-PPQxtlTb2iEkKHnKlAOhJ8U2N3XdatoAN2q5Th737W0,0,2021-06-29 16:18,"The sentiment of the text is negative. The author expresses frustration and dissatisfaction with a reservation system, stating that it doesn't work properly and has caused them to downgrade. They use strong negative language such as ""Pésima tecnologia"" (terrible technology) and ""su sistema no sirve"" (your system doesn't work). The angry face emoji at the end further emphasizes the negative sentiment.","Quiten su evaluacion de reserva de horarios, ya baje de nivel por que su sistema no sirve, siempre me conecto a tiempo y en la zona y aun asi me marca como si no me hubiese activado. Pésima tecnologia la que manejan, mejor no reserven 😡",negative,-1,,,,
Nazarena Amed,"Trabajo con la app, muy divertida",5,gp:AOqpTOGyACX5zSM-Zk9v4PbIKR0fqaLnnFnfBnMyjaCrWbZ_tRMpv-y0rmtcfj8WLZlWlB8eqKVObCvXcg4h1Qs,0,2021-06-29 16:13,"The sentiment of the text is generally positive. The text is in Spanish and translates to ""I work with the app, very fun."" The use of the word ""divertida"" (fun) indicates a positive emotion towards the app the person is working with.","Trabajo con la app, muy divertida",positive,1,,,,
Jonatan Alcala,... Ok,4,gp:AOqpTOFDfrumLP7zKNSV0CUu_cKFr8cuF7A2yEZxU-XvqjEeepe82MVHccXDD4LWB9ksiEfYUzcobaKsr_Saab8,0,2021-06-29 16:09,"The sentiment of the text is neutral. The text is very brief and does not provide enough context or emotional language to be classified as either positive or negative. The word ""Ok"" is generally considered neutral without additional context.",... Ok,neutral,0,,,,
Juan Peraza,Muy buena,5,gp:AOqpTOHa_gU8OJQ37-VnSbNOcGZ1lzzIG7k5c65sXsIIiAlZES9tfDEaWKZr1zHorDukrrU7z9mBw_gU7vNUVX8,0,2021-06-29 16:05,"The sentiment of the text is positive. The phrase ""Muy buena"" is Spanish and translates to ""Very good"" in English, which indicates a positive sentiment or approval.",Muy buena,positive,1,,,,
Franklin johan Marquez merchan,Excelente,5,gp:AOqpTOGuMK3-DCvCBq4ndzQ0EaizTZOAcsv6CwMyNmMAKl9RGV_Qs_lyekYQQni0hj6IcbXnCtcUBwiuGzpc8-0,0,2021-06-29 15:59,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is generally associated with a positive sentiment.",Excelente,positive,1,,,,
Fernando Arellano,Cambio mi opinion a mejorado soporte un poco le falta en tiempo ba muy bien sigue con fallas la app manda muchos errores,2,gp:AOqpTOFNSW9vHSa1T0B4RnEUFyj4kIZdNjIl1QfX7DRrSUePC8SI2xGKwDtYDq4a6ZRhwY7_kyCMnBbVkELdYD4,0,2021-06-29 15:51,"The sentiment of the text is mixed. The user acknowledges some improvement in the support (""a mejorado soporte un poco""), which indicates a positive sentiment. However, they also mention that there are still issues with the timing (""le falta en tiempo"") and the app continues to have errors (""sigue con fallas la app manda muchos errores""), which suggests a negative sentiment. The overall sentiment leans more towards the negative due to the ongoing issues mentioned.",Cambio mi opinion a mejorado soporte un poco le falta en tiempo ba muy bien sigue con fallas la app manda muchos errores,neutral,0,,,,
Antonio Reyes Vazquez,La verdad me queda mal tenia que pagar mis deudas y resulta q ni entregas tengo llevo esperando ye llega un msj.dice q racha de 15 pedillos la neta otro rato sino los mato..,4,gp:AOqpTOFtFVE_QRfJpFcfKBLxOU9E2YanTIREfnuULtOigvA-EzYGyRPWZt8CpfmkH1go3N-8KHfUQ9dy7WLCWHo,0,2021-06-29 15:48,"The sentiment of the text is generally negative. The author expresses frustration and dissatisfaction, indicated by phrases such as ""me queda mal"" (I'm in a bad situation), ""tenia que pagar mis deudas"" (I had to pay my debts), ""ni entregas tengo"" (I don't even have deliveries), and ""llevo esperando"" (I've been waiting). The use of strong language like ""sino los mato"" (or I'll kill them) further emphasizes the negative sentiment, showing extreme dissatisfaction and anger.",La verdad me queda mal tenia que pagar mis deudas y resulta q ni entregas tengo llevo esperando ye llega un msj.dice q racha de 15 pedillos la neta otro rato sino los mato..,negative,-1,,,,
Calidad Megalite,"La app esta muy mala, ni siquiera estando en racha entran pedidos, y peor aun cuando ingresa uno es de moto, estando en carro y asi no se puede trabajar con ella. Arreglen eso de la app",1,gp:AOqpTOHdIZQDSbMREgqSl47L72Lj52LhlKKTQvSWwF92AFF-6UyVE55XGZ1J-94P34h7Kw-RxCMQl_6hlApWc-Q,0,2021-06-29 15:42,"The sentiment of the text is negative. The author expresses dissatisfaction with an app, stating that it is ""very bad"" and does not work as expected. They also express frustration about the app's functionality, specifically about receiving inappropriate orders for their mode of transportation. The use of phrases like ""ni siquiera estando en racha entran pedidos"" and ""peor aun"" further emphasize the negative sentiment. The author ends with a demand for the issues to be fixed, indicating their discontent.","La app esta muy mala, ni siquiera estando en racha entran pedidos, y peor aun cuando ingresa uno es de moto, estando en carro y asi no se puede trabajar con ella. Arreglen eso de la app",negative,-1,,,,
Oscar Pa,"De lo mejor, felicidades",1,gp:AOqpTOFqXp3ArYDi2SGM-EEa1UB3xwOONMLJTCSjB8h6GF9J8sEMmg3C6Sf7lMRZ9TivxkpvsBYM0GsbarOPg4w,3,2021-06-29 15:33,"The sentiment of the text is positive. The phrase ""De lo mejor, felicidades"" is in Spanish and translates to ""The best, congratulations"" in English. This indicates a positive sentiment as it expresses praise and congratulatory sentiments.","De lo mejor, felicidades",positive,1,,,,
gaston luna,Muy bueno. Por el momento.,5,gp:AOqpTOFKKOIT2-cJUJYQhWBJtCiCIK4sPFFMHFEODiMji3t3AI5jFQxvka18tVJteAffXlz44tHHvoqbTrrz6j8,0,2021-06-29 15:33,"The sentiment of the text is generally positive. The phrase ""Muy bueno"" translates to ""Very good"" in English, which indicates a positive sentiment. The phrase ""Por el momento"" translates to ""For the moment"" in English, which suggests that the positive sentiment is based on the current situation.",Muy bueno. Por el momento.,positive,1,,,,
Carlos Rafa Sanchez,Bacano todo,5,gp:AOqpTOE3qF6NSjxdaeByonbbXvCLEH_rX9VPrbgKyq_IsSAuxQXo4kC02Fr5qa7vBnP_dEgrhx8j1rFurQpjIKM,0,2021-06-29 15:26,"The sentiment of the text ""Bacano todo"" is generally positive. The word ""Bacano"" is a colloquial term used in some Spanish-speaking countries, including Colombia, to express that something is good, nice, or cool. The word ""todo"" translates to ""everything"". So, the phrase can be interpreted as ""everything is cool"" or ""everything is great"", which indicates a positive sentiment.",Bacano todo,positive,1,,,,
Luis Angel,Buena app solo ase falta tener mas pedidos,3,gp:AOqpTOFzoQSTIGJCf6eWLW905E6PDxvMjrOLCA7GT2oDR1EisaopRWfzpceHxEPFwgJNVfHyZOPcVn0cbhcFUiM,0,2021-06-29 15:25,"The sentiment of the text is generally positive. The user describes the app as ""Buena"" (good), which indicates satisfaction. However, they also express a desire for more orders (""mas pedidos""), which suggests a minor point of dissatisfaction or a suggestion for improvement. Despite this, the overall sentiment remains positive as the user seems to appreciate the app but just wants it to have more features or capabilities.",Buena app solo ase falta tener mas pedidos,neutral,0,,,,
Jesus Miranda,Falta mas exactitud en las ubicaciones por ejemplo un ubicacion erronea que haya un boton de reubicacion ya que pone en una parte y esta en otra,5,gp:AOqpTOFeGM5mrde7qaWt6_WPQdTqqLGX_t0Jb_fYdCE0qCLfqUeIzy4HXAPuXMByH8CKpRpaewBdcm7wjmdY_QE,0,2021-06-29 15:23,"The sentiment of the text is generally negative. The author expresses dissatisfaction with the accuracy of locations, suggesting that there is an error or problem. They propose a solution (a relocation button), indicating that they believe the current situation could be improved. The language used, such as ""falta"" (lack) and ""erronea"" (wrong), contributes to the overall negative sentiment.",Falta mas exactitud en las ubicaciones por ejemplo un ubicacion erronea que haya un boton de reubicacion ya que pone en una parte y esta en otra,negative,-1,,,,
carlos garcia,"Es una aplicacion que no se preocupan para nada por el repartidor, Aceves dan unas direcciones que no son la correcta, y toca estar escribiendo a soporte para que brinden ayuda y estarle escribiendo al cliente, y ni hablar de los domicilios Super baratos como la aplicacion se queda con el 50% o asta mas del domicilio, entonces se aprovechan demasiado de la necesidad del repartidor y en verdad no sé por qué los clientes piden domicilios por esta aplicacion, por qué qué manera de robar tn tremenda",1,gp:AOqpTOEw0odkblaT2WVJozznfIHoBVIScvXqZcvfeUx-wIP_3MuiF2KMgtftU8M7k5MnTOaxbFVLHQykyelwqQ0,0,2021-06-29 15:22,"The sentiment of the text is negative. The author expresses dissatisfaction with an application, criticizing it for not caring about the delivery person, providing incorrect directions, and requiring constant communication with support and customers. The author also complains about the application taking a large percentage of the delivery fee, exploiting the delivery person's needs. The author questions why customers use this application, implying that it is a form of robbery.","Es una aplicacion que no se preocupan para nada por el repartidor, Aceves dan unas direcciones que no son la correcta, y toca estar escribiendo a soporte para que brinden ayuda y estarle escribiendo al cliente, y ni hablar de los domicilios Super baratos como la aplicacion se queda con el 50% o asta mas del domicilio, entonces se aprovechan demasiado de la necesidad del repartidor y en verdad no sé por qué los clientes piden domicilios por esta aplicacion, por qué qué manera de robar tn tremenda",negative,-1,,,,
Ander Villa,Hay cosq que deben mejorar,4,gp:AOqpTOEBUNIY4Ea3Cy5RDOwaRlP814kKRJ-h3t8P1fYi99ureXTQfsuBTNxxGvXI7egpg3TkdJcgNDq0Ay_mSxQ,0,2021-06-29 15:14,"The sentiment of the text is generally negative. The phrase ""Hay cosq que deben mejorar"" is in Spanish and translates to ""There are things that need to improve"". This suggests dissatisfaction or criticism, indicating a negative sentiment.",Hay cosq que deben mejorar,negative,-1,,,,
edinson triviño,"Es excelente me gusta y me divierto montar bicicleta vale la pena usenla gracias sigan asi gracias por mejorar la plataforma. Son los mejores. Muchas gracias por su aplicacion. me gustan las mejoras que hicieron, y eso de las propinas es lo mejor 😁, gracias a ustedes puedo estudiar y trabajar. Seguiria asi hasta que me graduia. 👍",5,gp:AOqpTOFf8w5NCwdIxaxfPpTOu-R_KTJejGqVn8eJCO65k6UDY2DReA9qGyi0c10o0cn6eg_xDuRNTE13R5y4HQs,2,2021-06-29 15:11,"The sentiment of the text is generally positive. The author uses phrases such as ""Es excelente"" (It's excellent), ""me gusta"" (I like it), ""me divierto"" (I have fun), ""vale la pena"" (it's worth it), ""Son los mejores"" (You are the best), and ""me gustan las mejoras que hicieron"" (I like the improvements you made), which all express satisfaction and positive feelings. The use of positive emojis like 😁 and 👍 further reinforces the positive sentiment. The author also thanks the creators of the application and mentions that it allows them to study and work, indicating that they find it beneficial and useful.","Es excelente me gusta y me divierto montar bicicleta vale la pena usenla gracias sigan asi gracias por mejorar la plataforma. Son los mejores. Muchas gracias por su aplicacion. me gustan las mejoras que hicieron, y eso de las propinas es lo mejor 😁, gracias a ustedes puedo estudiar y trabajar. Seguiria asi hasta que me graduea. 👍",positive,1,,,,
Maria Fernanda Viñas,Muy buena ! Dinamica y facil de usar,5,gp:AOqpTOEWeZs6WRp0yYj6c7uDPXnNzenbx2gTGtfxEhEMOYkjtDjX991JR45OOPzo9s8821Xo2ppcl60IdfE7PdU,0,2021-06-29 14:58,"The sentiment of the text is generally positive. The text is in Spanish and translates to ""Very good! Dynamic and easy to use."" The words ""muy buena"" (very good), ""dinamica"" (dynamic), and ""facil de usar"" (easy to use) all convey a positive sentiment, indicating satisfaction and approval.",Muy buena ! Dinamica y facil de usar,positive,1,,,,
Miguel Padilla Gomezhuufhgmhhrtgfhggghñ,Falla en todo el soporte no sirve,1,gp:AOqpTOHNDIl4DMV7lrqwWKd6VXQ0IhPCLFDpSYGV4sPLU2H2XIAfpkilpAt3YzfVHQVvPlI7YV80cs55CmsMUiY,0,2021-06-29 14:57,"The sentiment of the text is negative. The text is in Spanish and translates to ""Failure in all the support is useless."" The words ""falla"" (failure) and ""no sirve"" (is useless) convey a negative sentiment, indicating dissatisfaction or frustration with a support system or service.",Falla en todo el soporte no sirve,negative,-1,,,,
Gabriela Veronika,Me encanta 🤩,5,gp:AOqpTOEoJukVxDaF9rcprPtTXofCN0eC9HLfob3NoK1AxmYLmja6coYPB1XGJgl50_YT4YBbCP3dMvoPv1OgyhI,0,2021-06-29 14:55,"The sentiment of the text is positive. The phrase ""Me encanta"" translates to ""I love it"" in English, which indicates a strong positive emotion. The use of the star-struck emoji 🤩 further emphasizes this positive sentiment, as it is often used to express excitement or admiration.",Me encanta ,positive,1,,,,
Robert Rosillo,Si me gusta es una aplicacion muy buena pero como todo tiene su dentales d verias d mejorar los pedidos sobre el kilometraje ya q envia a buscar en las tiendas lejos,5,gp:AOqpTOFWnmCE8Ui-oH33T8K5FsSCn3jNI9S3hgwTAbZuX8WII6mbMfGKptsDdDEJq6bmD0BwBHeQIPnxzmvtVbI,0,2021-06-29 14:55,"The sentiment of the text is generally mixed. The user expresses a positive sentiment towards the application, stating that they like it and consider it very good. However, they also express a negative sentiment regarding the aspect of the application that needs improvement, specifically the order system related to the mileage that sends them to faraway stores.",Si me gusta es una aplicacion muy buena pero como todo tiene su dentales d verias d mejorar los pedidos sobre el kilometraje ya q envia a buscar en las tiendas lejos,positive,1,,,,
Anthony Hernandez,Te roban y te cambian el balance para que no tengas ninguna prueba de comprobarles su robo,1,gp:AOqpTOF7EeXNuEDjIbNHw6XcxrEFp0FhQT9HpJRvmyqaP2UUUy7xKWQ2qbIzNXWntGZTkCnQmXPkbdRhoG6VSjE,0,2021-06-29 14:53,"The sentiment of the text is negative. The text is in Spanish and translates to ""They steal from you and change the balance so you have no proof to prove their theft."" The language used conveys a sense of accusation, frustration, and injustice, which are negative emotions. The words ""roban"" (steal), ""cambian"" (change), and ""robo"" (theft) are used in a negative context, indicating a complaint or a negative experience.",Te roban y te cambian el balance para que no tengas ninguna prueba de comprobarles su robo,negative,-1,,,,
David Salazar,"Ojala fuesen mas justos con nosotros los trabajadores, muchas gracias",1,gp:AOqpTOG5stwrjDquzfLDWizWSmeoFJg-TjVtRN7Iqi47xmG8TZJigeGs32lP8TJGG6yf26JWRtOVeq0lJyVxPk4,0,2021-06-29 14:51,"The sentiment of the text is generally neutral with a slight negative undertone. The speaker expresses a desire for more fairness towards workers, which implies dissatisfaction with the current situation, hence the negative undertone. However, the expression of gratitude at the end (""muchas gracias"") adds a positive element, balancing the overall sentiment to neutral.","Ojala fuesen mas justos con nosotros los trabajadores, muchas gracias",negative,-1,,,,
laestancia barranquilla,Agradecido eternamente a rappi,5,gp:AOqpTOGnBW5YN6-_deOwnVBRNPPO4NZ339WHMoX6dnnuw9UiDjtwaTy9S421mVqNjXUmtxBBCUSdsJON9d6Iu6c,0,2021-06-29 14:49,"The sentiment of the text is generally positive. The phrase ""Agradecido eternamente a rappi"" translates to ""Eternally grateful to Rappi"" in English. The use of the word ""eternamente"" (eternally) amplifies the speaker's gratitude, indicating a high level of satisfaction or positive experience with Rappi, which is a delivery service company.",Agradecido eternamente a rappi,positive,1,,,,
Sergio Faustino,Mal app luego luego te bloquean,5,gp:AOqpTOF9_0TGoXZ6aW2TIyHnvysBOrZR76Tpe6OB6z6F_GOh3jKyFCgmKO5o3tMszU_R11mG_OECM9PlntG0RJo,0,2021-06-29 14:45,"The sentiment of the text is negative. The text is in Spanish and translates to ""Bad app, they block you right away."" The user expresses dissatisfaction with the app, indicating a negative experience, which is why the sentiment is negative.",Mal app luego luego te bloquean,negative,-1,,,,
jose bolivar,El tlf personal no somos empleados de rappi mucho menos de una tienda en la tienda merecemos el mismo respeto q todos no estamos obligados a mostrar el tlf es personal ellos deben tener sus instrumentos de trabajo su tabla para ver cuando uno recibe los productos si es obligacion mostrar el tlf entonces rappi esta en la obligacion de darle tlf a los rappitenderos,2,gp:AOqpTOEoVsdqhpregaLLAnLL7hY7Ui2jIy92oJs-osYp0i162lNWUvUGNynWm_lrI8o1NGBwS3y4SzVR_5ZYomo,0,2021-06-29 14:45,"The sentiment of the text is generally negative. The author expresses dissatisfaction and frustration, particularly with the perceived lack of respect and the obligation to use personal resources (in this case, a phone) for work purposes. The author also suggests that the company, Rappi, should provide these resources to its workers, indicating a sense of unfairness.",El tlf personal no somos empleados de rappi mucho menos de una tienda en la tienda merecemos el mismo respeto q todos no estamos obligados a mostrar el tlf es personal ellos deben tener sus instrumentos de trabajo su tabla para ver cuando uno recibe los productos si es obligacion mostrar el tlf entonces rappi esta en la obligacion de darle tlf a los rappitenderos,negative,-1,,,,
jose enrique miranda sanchez,La aplicacion buenas sia la recomiendo en su manejo de la plataforma..,2,gp:AOqpTOEXNuFhZ7obGpEjN1X1Pec8TGmb7P6t3OV5ppjByGtF9vPGKdb-Z-4F-CgiqkYwbsh3fAv0M9_lYGAYh8w,1,2021-06-29 14:43,"The sentiment of the text is generally positive. The user is recommending the application and complimenting its platform management, which indicates satisfaction and positive experience.",La aplicacion buenas si la recomiendo en su manejo de la plataforma..,positive,1,,,,
DEREKFCO ROSAS,Excelente,5,gp:AOqpTOG9PlGAha1rGFR5tcSvVrIrG2Y6W7L6HOzPAuUwtYZSlJDWNmgEkls1PE8q1dCELSsyKuO_ewTYRL9Hl78,0,2021-06-29 14:22,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is generally associated with a positive sentiment.",Excelente,positive,1,,,,
fiorella antuanet meza mercado,Buena Ñ,5,gp:AOqpTOHJpwvSdc_AWT4z-F8JYeESlzRx2pnHppf0xcVCMG68pOvWiHyNTCtMS-qnqlAS8u-W-xL7mAbjPVKltnE,0,2021-06-29 14:22,"The sentiment of the text ""Buena Ñ"" is neutral. This is because it's a very short phrase and doesn't provide enough context or emotional language to determine a positive or negative sentiment. ""Buena"" translates to ""good"" in English, but without further context, it's unclear what this is referring to.",Buena ,positive,1,,,,
Gilbert Herrera,Buena,3,gp:AOqpTOHOcSnUi8tBGQLEz28ATRTIb6d9HUGpPItuUl0RmdYaw8qQiXROwS7VyapwQm-np-C72Lcq1hdbUyqWMbw,0,2021-06-29 14:16,"The sentiment of the text ""Buena"" is generally positive. The word ""Buena"" is Spanish and translates to ""good"" in English. The sentiment is positive because the term is often used to express approval or satisfaction. However, without more context, it's hard to provide a more detailed analysis.",Buena,positive,1,,,,
Ana Maria Sanchez Valbuena,Excelente,4,gp:AOqpTOEaJ4MxV2sRxmi8yiMhXjxvibb2M9GxHFpCPjeIIbM9PtRz0n8O08dVM9riZbfnEq8nOMkbFSXgQa0yJnI,0,2021-06-29 14:12,"The sentiment of the text is positive. The word ""Excelente"" is Spanish and translates to ""Excellent"" in English, which is generally associated with a positive sentiment.",Excelente,positive,1,,,,
Romina Trujillo,Muy biek,5,gp:AOqpTOGkyeps_I085gxTf2wLOILCubWCphfKMy8ayfiuG9Ez7VHG8SRDcem5vXPMKkrCO_pIOeYsa8HreTAzURU,0,2021-06-29 14:10,"The sentiment of the text ""Muy biek"" is neutral. This is because the text appears to be a misspelling or typo. If it's meant to be ""Muy bien"" in Spanish, which translates to ""Very good"" in English, then the sentiment would be positive. However, as it stands, it's unclear and therefore neutral.",Muy biek,positive,1,,,,
Humberto Ivan Robledo Lozoya,👌👌,5,gp:AOqpTOGcGNmA2h7KEBGrmkzafFu2KTcfLsWDGpXuwJ05fNsoXEg4DzMix0HkegGYi20ccfuvRw6vXjbomt-mUDA,0,2021-06-29 14:08,"The sentiment of the text is positive. The two ""OK Hand"" emojis are often used to express approval, satisfaction, or that everything is fine. However, without additional context, it's hard to provide a more detailed analysis.",👌👌,neutral,0,,,,
jean castillo,Normal,3,gp:AOqpTOEoZQ7CoooZXmANskwwlgU6AVTR9WUsIh9MZuL0ahjYk84FdTfjGsGyyDarQrpTmi6LB6em-B4O7JBmPQs,0,2021-06-29 14:03,"The sentiment of the text ""Normal"" is neutral. The term itself does not convey any positive or negative emotions or attitudes, it simply refers to a state of being usual, typical, or expected.",Normal,neutral,0,,,,
Juan Garzon,😎👍👍,5,gp:AOqpTOGdkLHTykVuF-0FNTETQ5vf-LxJTaWY8xwqcdy7p7Zd_q-T1ljFR3jydMJlPuF54Cty-rFRYuD82auH9-M,124,2021-06-29 13:58,"The sentiment of the text is generally positive. The text consists of emojis, which are often used to express emotions in digital communication. The ""cool"" emoji (😎) typically represents a positive emotion such as confidence or satisfaction, while the ""thumbs up"" emoji (👍) is generally used to express approval or agreement, which are also positive sentiments.",😎👍👍,neutral,0,,,,
Carlos Pineda,Gracias soporte por la ayuda en los momentos dificiles hay algo que me preocupa un poco que estoy perdiendo puntos Estoy Muy preocupado porque cuando llego a los condominios no marca destino y los clientes se molestan seria importante revisar esos temas quiero agradecer a soporte por la ayuda en momentos importantes también estar pendiente de todo,5,gp:AOqpTOFlfFvEz5o7Ql98EGuW4QNNhmKlq7HjhudcklWQ7S6VeyJ0Ocr8GE-OpOFRp7yVIFERmcSb8NSmDYHq0VY,0,2021-06-29 13:52,"The sentiment of the text is generally mixed. The author expresses gratitude (""Gracias soporte por la ayuda en los momentos dificiles"", ""quiero agradecer a soporte por la ayuda en momentos importantes"") which indicates a positive sentiment. However, the author also expresses worry and concern (""hay algo que me preocupa un poco"", ""Estoy Muy preocupado"", ""los clientes se molestan""), which indicates a negative sentiment. The author's request for help and attention to certain issues (""seria importante revisar esos temas"", ""también estar pendiente de todo"") could be seen as neutral, as it is neither inherently positive nor negative, but rather a call to action.",Gracias soporte por la ayuda en los momentos dificiles hay algo que me preocupa un poco que estoy perdiendo puntos Estoy Muy preocupado porque cuando llego a los condominios no marca destino y los clientes se molestan seria importante revisar esos temas quiero agradecer a soporte por la ayuda en momentos importantes tambien estar pendiente de todo,neutral,0,,,,
